id	name
21794	Food Microbiology
120	Линейная регрессия
16866	Основная нормативная и техническая документацию, регламентирующая показатели качества и безопасности пищевой продукции
21793	Обществознание
110	Машинное обучение
21752	Нейробиология
21846	Маркетинговые технологии
21864	Методы анализа и синтеза при проведении исследовательских работ в области физической химии
232	Минимальные маршруты в связном графе
21783	Моделирование оптических процессов
154	Покрытие рёбер графа путями
21769	Понимание функций эмоций в контексте автономных  систем и человеко-машинного взаимодействия
14459	Графическая интерпретация задачи линейного программирования
255	Аналитическая геометрия
122	Цикл Гамильтона
21785	Техническая термодинамика
21856	Adjustment of optical instruments
117	Проверка статистических гипотез
23128	SQL: main commands
21742	Архитектура хранения данных
113	Методы интегрирования функций
21862	Термодинамика
201	Паросочетания
18	Условие коллинеарности
19	Скалярное произведение векторов
256	Системы координат на плоскости
248	Направляющие косинусы
11374	Методы исследования готовой пищевой продукции
21786	Стереометрия
21775	Закон Снеллиуса
11409	Общестроительное проектирование предприятий молочной промышленности
118	Алгоритмы машинного обучения
247	Фундаментальная система решений
21766	Теория электрической связи
250	Векторное произведение векторов
15	Геометрия
241	Ранг матрицы
112	Операции с векторами
21753	Пищевая микробиология
245	Метод Гаусса
21772	Методы регистрации, обработки и анализа физиологических сигналов для измерения эмоций
257	Системы координат в пространстве
157	Гамильтоновы графы
242	Системы линейных уравнений
16	Вектор
202	Алгоритм Форда-Фалкерсона
206	Паросочетания в недвудольных графах
23055	Виды эффектов от инновационной деятельности
236	Алгоритмы на графах
253	Объем параллелепипеда
249	Условие ортогональности
229	Поток минимальной стоимости
179	Кратчайшие пути в графах
119	Метод ближайших соседей
22906	Metrology
115	Корреляция
23162	Rules of behavior on a synchrotron source
204	Теорема Холла
3751	Нормативно-правовая база в области регулирования электронного документооборота
4632	Численные методы решения задач теплопроводности
239	Обратная матрица
21739	Супрамолекулярная химия
21743	Технология обработки материалов
148	Обходы графов
23091	Digital culture
150	Эйлеровы графы
21861	Работа с пакетом МАТЛАБ
332	Критерии согласия
237	Матрица
21750	Food Chemistry
21863	Квантовая теория многих тел
340	Наивный Байесовский классификатор
12650	Хостинг
21865	Разработка методов синтеза материалов
12651	Ценообразование в интернете
137	Гиперграфы
21767	Технологии и инструменты для решения задач аффективных вычислений
21867	Теория представлений
21744	Программируемая цифровая электроника
15354	Физиологическое действие функциональных пищевых ингредиентов
209	Максимальный поток
139	Связность в графах
23142	интегральное уравнение ММ электрического поля и его решение для проволочных структур
290	Исследование функции
21847	Маркетинговые тренды
279	Предел функции одной переменной
21776	Формула тонкой линзы
188	Остовные деревья
165	Раскраска графа
21787	Черчение
11385	Оценка санитарно-гигиенического состояния пищевого предприятия
21754	Техническая защита информации
21790	Фотовольтаические системы
330	Точечные методы оценивания
22907	Organization of measurements
323	Одномерные случайные величины
331	Интервальные методы оценивания
21773	Численные методы решения обратных задач
258	Преобразование координат
23163	Characteristics of synchrotron radiation
15030	Роль телекоммуникационных систем и сетей связи в современном обществе
21795	Векторный анализ
326	Центральная предельная теорема
324	Многомерные случайные величины
259	Линейные геометрические объекты
21857	Design of optical devices
21740	Интегрированный менеджмент
23056	Эскизный проект
23092	Плазмонные сенсоры
328	Выборочные характеристики
379	Статистические модели
277	Операции над множествами
8583	Особенности теплообмена при криогенных температурах
284	Дифференциальное исчисление функции одной переменной
314	Числовые и функциональные ряды
273	Математический анализ
21768	Компьютерное моделирование эмоций
347	Деревья решений
21755	Отношения на множествах
21751	Методы анализа продуктов питания
297	Методы интегрирования
317	Функциональные ряды
315	Числовые ряды
329	Генеральная совокупность
269	Линейное пространство
285	Производная
275	Множество
282	Непрерывная функция
300	Дифференциальные уравнения
321	﻿Прикладная статистика
21774	Педагогический дизайн электронного курса
311	Кратные интегралы
344	Метод K-средних
287	Дифференциал функции одной переменной высшего порядка
278	Функция одной вещественной переменной
336	Обучение без учителя
268	Линейное пространство и квадратичные формы
23129	Ограничение смежных прав
349	Методы обучения с подкреплением
